,cleaned,score,sentimen
0,guru besar uin ar raniry meminta penegak hukum netral di pilkada aceh,1,positive
1,pemungutan suara pilkada serentak museum tsunami aceh ditutup ini penjelasan kadisbudpar,-1,negative
2,. personel polda aceh siap amankan tps di pilkada,0,neutral
3,mualem dek fadh disebut sebagai tokoh yang peduli terhadap generasi muda terutama dalam mendorong inovasi dan kreativitas .,0,neutral
4,salah satu program unggulan mualem adalah meningkatkan insentif guru honor hingga persen menunjukkan perhatian terhadap sektor pendidikan .,2,positive
5,tokoh tokoh seperti prabowo subianto dan susilo bambang yudhoyono mendukung pasangan mualem dek fadh memberikan arahan strategis berdasarkan pengalaman nasional mereka .,2,positive
6,dpw muda seudang aceh telah menyatakan komitmennya untuk mendukung penuh pasangan mualem dek fadh dalam pilkada aceh .,1,positive
7,mualem dek fadh disebut sebagai tokoh yang peduli terhadap generasi muda terutama dalam mendorong inovasi dan kreativitas . tztv h,0,neutral
8,meskipun diguyur hujan antusiasme puluhan ribu warga tidak surut menunjukkan dukungan kuat terhadap pasangan mualem dek fadh .,2,positive
9,mualem berkomitmen mengukur ulang lahan perkebunan yang sebagian besar dikuasai perusahaan besar serta mewajibkan perusahaan membangun plasma yang dikelola rakyat setempat .,-1,negative
10,salah satu program unggulan mualem adalah meningkatkan insentif guru honor hingga persen menunjukkan perhatian terhadap sektor pendidikan . ppu,2,positive
11,puluhan ribu warga memadati lapangan teuku umar untuk meriahkan kampanye akbar mualem dek fadhdi meulaboh aceh barat meski diguyur hujan deras .,3,positive
12,dek fadh menilai bahwa pembangunan jalan tol tidak cukup efektif karena faktor geografis wilayah pantai barat aceh yang unik sehingga pelabuhan lebih relevan .,3,positive
13,fadhullah berkomitmen menghadirkan pelabuhan ekspor bertaraf internasional di wilayah barat selatan aceh sebagai solusi jangka panjang untuk kemakmuran masyarakat .,4,positive
14,mualem adalah simbol keberanian yang menyatukan berbagai elemen masyarakat aceh menciptakan harapan baru bagi generasi muda .,-2,negative
15,masyarakat aceh membutuhkan pemimpin yang memahami sejarah dan memiliki strategi konkret untuk menghadapi tantangan masa depan .,0,neutral
16,pasangan mualem dek fadh berkomitmen memperjuangkan hak hak rakyat aceh yang tertuang dalam mou helsinki .,1,positive
17,rbt simeulue resmi dibubarkan . relawan membentuk organisasi baru relawan pejuang mualem rpm untuk mendukung pasangan muzakir manaf fadhlullah dalam pilkada aceh .,3,positive
18,muzakir ingin mengaktifkan kembali pelabuhan krueng geukueh di aceh utara sebagai bagian dari pengembangan transportasi dan ekonomi aceh .,2,positive
19,muzakir manaf menegaskan komitmennya untuk membangun aceh dan benar meriah jika terpilih sebagai gubernur aceh .,0,neutral
20,pasangan calon gubernur dan wakil gubernur aceh h. muzakir manaf fadhullah diperkirakan unggul tebal di kabupaten bireuen berdasarkan survei terbaru . gr,1,positive
21,tudingan ucapan beraroma penghinaan dari bustami hamzah berbuntut panjang . cut farhani ketua sahabat mualem pidie menilai ucapan bustami kasar karena tidak menjujung adat dan budaya ketimuran .,-1,negative
22,sofyan dawood tokoh gam mengecam keras pernyataan yang disampaikan oleh calon gubernur aceh bustami hamzah yang mengatakan cuma mau bilang apa mereka tidak sekolah kok .,1,positive
23,pimpinan jaringan kampus jarkam bustami ilham rizky maulana mengalihkan dukungan kepada paslon gubernur dan wakil gubernur aceh nomor urut muzakir manaf fadhlullah,2,positive
24,mitigasi bencana tersebut disiapkan menyusul wilayah provinsi aceh saat ini memasuki musim penghujan,0,neutral
25,dukungan ini menjadi fondasi penting untuk menciptakan pemerintahan yang kuat visioner dan responsif terhadap kebutuhan rakyat aceh via,0,neutral
26,dengan tingginya angka pemilih galau swing voter segalanya masih mungkin terjadi hingga hari pemilihan,-2,negative
27,aceh wilayah dengan sejarah panjang konflik dan perdamaian memiliki dinamika politik yang unik . pilgub sering kali menghadirkan isu isu identitas agama dan narasi lokal yang kuat via,-3,negative
28,pemilihan kepala daerah pilkada serentak seluruh indonesia akan berlangsung pada november ini via,0,neutral
29,pemimpin yang bijak peduli dan berintegritas . mualem dan dek fadh adalah pilihan tepat untuk aceh yang lebih bermasa depan !,-1,negative
30,rpm menargetkan pasangan muzakir manaf fadhlullah menang dengan raihan suara persen di kabupaten simeulue .,3,positive
31,pasangan calon gubernur dan wakil gubernur aceh h. muzakir manaf fadhullah diperkirakan unggul tebal di kabupaten bireuen berdasarkan survei terbaru .,1,positive
32,pihak pelapor diingatkan agar menyiapkan bukti bukti pendukung klaim adanya pelanggaran yang diikuti pembuatan pelaporan yang menjelaskan pelaku pelanggaran jenis waktu dan tempat terjadinya pelanggara,1,positive
33,survei kedua issed menunjukkan elektabilitas pasangan calon nomor urut illiza sa aduddin djamal afdhal khalilullah menurun tapi tetap unggul dari tiga pasangan lainnya,2,positive
34,meminta kpu ri segera membekukan para komisioner serta mengambil alih tugas dan tanggung jawab kip aceh guna menyelamatkan proses demokrasi di aceh,-1,negative
35,relawan bustami simeulue alihkan dukungan ke muzakir manaf fadhlullah targetkan kemenangan persen untuk paslon,1,positive
36,ustadz nazar yahya meminta paslon berhenti klaim didukung uas di pilkada aceh,1,positive
37,kampanye akbar mualem dek fadh di aceh barat akan dimeriahkan musisi gumara dan deretan artis aceh via,3,positive
38,dek fadh meminta pemerintah segera mengangkat guru honorer yang telah lama mengabdi menjadi pegawai pemerintah dengan perjanjian kerja pakai tanpa melalui proses seleksi via,5,positive
39,mualem meminta warga aceh timur untuk tidak tergoda dengan tawaran uang rp ribu yang diberikan pasangan calon tertentu menjelang pemilihan gubernur dan bupati .,0,neutral
40,mualem menegaskan program prioritasnya berupa pemberian peluang kebun plasma bagi masyarakat di sekitar perkebunan kelapa sawit untuk mengurangi kemiskinan .,-4,negative
41,kombinasi pengalaman mualem dan semangat pembaruan dek fadh akan menjadi harapan baru untuk aceh yang bermartabat .,1,positive
42,bersama dek fadh mualem bertekad membawa aceh menuju masa depan yang lebih cerah damai dan sejahtera .,0,neutral
43,mualem menjadi salah satu tokoh kunci dalam proses rekonsiliasi di aceh dan membangun fondasi stabilitas pasca konflik .,3,positive
44,muzakir manaf menegaskan cita citanya untuk membawa aceh ke arah yang lebih baik dengan program program terukur dan strategis .,1,positive
45,mualem berjanji untuk memanfaatkan potensi sumber daya alam aceh timur seperti sektor perikanan dan perkebunan untuk mendorong pembangunan ekonomi .,1,positive
46,mualem berjanji membangun jalan jalan yang rusak di aceh tamiang memanfaatkan dana otonomi khusus yang diterima aceh .,3,positive
47,relawan juang banda aceh dan aceh besar sepenuhnya mendukung pasangan muzakir manaf mualem dan fadhlullah dek fadh dalam pilkada aceh .,1,positive
48,rpm kota langsa bekerja sama dengan relawan lainnya unsur partai pengurus dan badan pemenangan mualem dek fadh .,-3,negative
49,ratusan pemuda dan mahasiswa yang tergabung dalam rencong muda menyatakan dukungan kepada pasangan mualem dan dek fadh di pilkada .,0,neutral
50,mualem mendorong investasi dan pembangunan infrastruktur untuk meningkatkan perekonomian aceh termasuk sektor pertanian perikanan dan pariwisata .,1,positive
51,mualem berperan aktif dalam perundingan yang menghasilkan perjanjian helsinki yang mengakhiri konflik bersenjata selama tahun antara gam dan pemerintah indonesia,1,positive
52,diharapkan pasangan mualem dek fad mampu membawa perubahan yang menjawab kebutuhan rakyat terutama kalangan muda .,-1,negative
53,kampanye akbar pasangan muzakir manaf fadhlullah di lapangan bola kaki kecamatan syamtalira aron aceh utara dihadiri puluhan ribu warga,3,positive
54,muzakir manaf fadhlullah mualem dek fadh menggelar kampanye akbar di lapangan bola kaki kecamatan syamtalira aron aceh utara,3,positive
55,mualem berjanji untuk memanfaatkan potensi sumber daya alam aceh timur seperti sektor perikanan dan perkebunan untuk mendorong pembangunan ekonomi . ruls o e,1,positive
56,mereka enggak sekolah . hahaha arogansi intelektual frustasi moral,2,positive
57,kejadian terbakarnya mobil relawan pendukung calon bupati aceh timur sulaiman tole abdul hamid membuat suasana menjadi sedikit kurang kondusif . pemetaan lemhannas memasukkan aceh kategori rawan konflik pilkada,0,neutral
58,ini lokasi tps paslon gubernur aceh dan wali kota banda aceh,-1,negative
59,walikota no gubernur no nye meunan ? ?,0,neutral
60,salam kip kabupaten aceh singkil melaksanakan pendistribusian logistik pemilihan gubernur dan wakil gubernur bupati dan wakil bupati tahun untuk kecamatan di kabupaten aceh singkil selasa,-2,negative
61,ketua p aceh final muzakir manaf gubernur aceh,0,neutral
62,berikut lokasi paslon gubernur dan wakil gubernur aceh mencoblos di pilkada serentak lewat,1,positive
63,di aceh calon gubernur nya pileh laju yang penteng bek syeh syoh .,0,neutral
64,surat suara gubernur dan wakil gubernur lembar surat suara pemilihan bupati dan wakil bupati nagan raya lembar kegiatan ini dihadiri oleh berbagai pihak termasuk,-1,negative
65,kip kabupaten aceh utara mulai distribusi logistik pemilihan gubernur dan wakil gubernur bupati dan wakil bupati aceh aceh utara tahun ke kecamatan di gudang logistik kabupaten aceh utara senin .,0,neutral
66,pj gubernur safrizal pimpin rapat penurunan stunting lintas instansi lz,-1,negative
67,banda aceh pelaksana tugas plt sekretaris daerah sekda aceh muhammad diwarsyah mewakili penjabat pj gubernur aceh menghadiri peringatan maulid nabi muhammad saw h yang digelar pemerintah kota pemko banda aceh di taman sari banda aceh,0,neutral
68,sesuai dengan keputusan presiden republik indonesia nomor tahun tentang hari pemungutan suara pemilihan gubernur dan wakil gubernur bupati dan wakil bupati serta walikota dan wakil walikota tahun sebagai hari dan tanggal pemungutan suara pemilihan umum,-3,negative
69,salam ayo ke tps tanggal november kita memilih gubernur dan wakil gubernur bupati dan wakil bupati serta walikota dan wakil walikota ayo ke tps rabu november tps dibuka jam . wib sesuai dengan qanun aceh nomor tahun,1,positive
