text,score,sentimen
guru uin ar raniry tegak hukum netral pilkada aceh netralitas pilkadaaceh saifulakmal popularitascom,1,Positif
mungut suara pilkada serentak museum tsunami aceh tutup jelas kadisbudpar disbudparaceh pilkadaaceh popularitascom,-1,Negatif
 personel polda aceh aman tps pilkada kapoldaacehirjenpolachmadkartiko pilkadaaceh popularitascom,0,Netral
mualem dek fadh tokoh peduli generasi muda dorong inovasi kreativitas  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,0,Netral
salah program unggul mualem tingkat insentif guru honor persen perhati sektor didik  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh,2,Positif
tokoh tokoh prabowo subianto susilo bambang yudhoyono dukung pasang mualem dek fadh arah strategis dasar alam nasional  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju,2,Positif
dpw muda udang aceh komitmen dukung penuh pasang mualem dek fadh pilkada aceh  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,1,Positif
mualem dek fadh tokoh peduli generasi muda dorong inovasi kreativitas  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh tztv h,0,Netral
guyur hujan antusiasme puluh ribu warga surut dukung kuat pasang mualem dek fadh  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,2,Positif
tokoh tokoh prabowo subianto susilo bambang yudhoyono dukung pasang mualem dek fadh arah strategis dasar alam nasional  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,2,Positif
mualem komitmen ukur ulang lahan kebun asai usaha wajib usaha bangun plasma kelola rakyat  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,-1,Negatif
salah program unggul mualem tingkat insentif guru honor persen perhati sektor didik  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh ppu,2,Positif
puluh ribu warga padat lapang teuku umar riah kampanye akbar mualem dek fadhdi meulaboh aceh barat guyur hujan deras  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,3,Positif
dek fadh nilai bangun jalan tol efektif faktor geografis wilayah pantai barat aceh unik labuh relevan  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,3,Positif
fadhullah komitmen hadir labuh ekspor taraf internasional wilayah barat selatan aceh solusi jangka makmur masyarakat  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,4,Positif
mualem simbol berani satu elemen masyarakat aceh cipta harap generasi muda  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,-2,Negatif
masyarakat aceh butuh pimpin paham sejarah milik strategi konkret hadap tantang  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,0,Netral
pasang mualem dek fadh komitmen juang hak hak rakyat aceh tuang mou helsinki  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,1,Positif
rbt simeulue resmi bubar  rawan bentuk organisasi rawan juang mualem rpm dukung pasang muzakir manaf fadhlullah pilkada aceh  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,3,Positif
muzakir aktif labuh krueng geukueh aceh utara kembang transportasi ekonomi aceh  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,2,Positif
muzakir manaf komitmen bangun aceh riah pilih gubernur aceh  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,0,Netral
pasang calon gubernur wakil gubernur aceh h muzakir manaf fadhullah unggul tebal kabupaten bireuen dasar survei baru  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh gr,1,Positif
tuding ucap aroma hina bustami hamzah buntut  cut farhani ketua sahabat mualem pidie nilai ucap bustami kasar menjujung adat budaya timur  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju,-1,Negatif
